Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S001057;17/01/2020;14:25;CALL. ALCALA / AUTOV. M-30;-;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2020S001499;17/01/2020;13:15;CALL. ARROYO DEL OLIVAR;148;PUENTE DE VALLECAS;Colisión múltiple;;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S001499;17/01/2020;13:15;CALL. ARROYO DEL OLIVAR;148;PUENTE DE VALLECAS;Colisión múltiple;;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S001499;17/01/2020;13:15;CALL. ARROYO DEL OLIVAR;148;PUENTE DE VALLECAS;Colisión múltiple;;Turismo;Conductor;DESCONOCIDA;;
2020S001051;17/01/2020;13:10;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S001051;17/01/2020;13:10;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Caída;Despejado;Furgoneta;Conductor;DE 35 A 39 AÑOS;Hombre;14
2020S001049;17/01/2020;12:30;CALL. TOLEDO / PLAZA. CASCORRO;-;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S001049;17/01/2020;12:30;CALL. TOLEDO / PLAZA. CASCORRO;-;CENTRO;Colisión lateral;Despejado;Turismo;Pasajero;MAYOR DE 74 AÑOS;Hombre;
2020S001049;17/01/2020;12:30;CALL. TOLEDO / PLAZA. CASCORRO;-;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S001049;17/01/2020;12:30;CALL. TOLEDO / PLAZA. CASCORRO;-;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S001048;17/01/2020;12:26;CALL. ALCALA;285;CIUDAD LINEAL;Atropello a persona;Despejado;Motocicleta hasta 125cc;Conductor;DE 50 A 54 AÑOS;Hombre;07
